text,label
Urgent: Your account has been suspended. Verify your identity within 24 hours at http://secure-paypa1.com/login or your account will be permanently closed.,1
"Dear customer, we detected unusual sign-in activity. Click here http://bit.ly/3xqz to confirm your password immediately.",1
Congratulations! You have won a $1000 Amazon gift card. Claim your prize now at http://amaz0n-rewards.net before it expires.,1
Your package could not be delivered. Pay the $1.99 redelivery fee here: http://usps-tracking-update.info to release it.,1
ALERT: Your Netflix payment failed. Update your billing details now http://netflix-billing-secure.com to avoid losing access.,1
"We noticed a login from a new device. If this wasn't you, reset your password here http://account-verify-now.ru immediately.",1
Final notice: your email storage is full. Verify your account within 12 hours or it will be deleted. http://mail-quota-fix.com,1
Your bank account is temporarily locked. Confirm your SSN and card number at http://chase-online-secure.co to unlock.,1
IRS Notice: You are eligible for a tax refund of $842.50. Submit your bank details here http://irs-refund-gov.org to receive it.,1
"Action required: a wire transfer of $4,500 is pending your approval. Authorize it here http://corp-approve.net within 1 hour.",1
"Hi, this is your CEO. I need you to buy 5 gift cards urgently and send me the codes. Keep this confidential, I'm in a meeting.",1
Security alert: someone tried to access your Apple ID. Verify now http://appleid-confirm.support or your account will be disabled.,1
Your domain is about to expire today. Renew immediately http://domain-renewal-center.biz to avoid permanent loss.,1
You have 1 undelivered message held in queue. Release it by signing in here http://webmail-release.click within 24 hours.,1
Microsoft: unusual activity detected on your Office 365 account. Re-authenticate here http://office365-verify.cc now.,1
Dear user your password expires today click http://reset-pass-portal.info and re-enter your current password to keep access.,1
Invoice overdue. Please review the attached statement and confirm payment via http://secure-invoice-pay.com immediately.,1
"Your card was charged $499.99 for a subscription. To dispute, call this number or visit http://refund-dispute-center.net now.",1
Verify your WhatsApp account to avoid suspension. Enter the 6 digit code we send you at http://wa-verify.online today.,1
Bank security team: confirm the one-time passcode we sent you by replying with the code to restore your account access.,1
"Your Coinbase wallet has a pending withdrawal of 0.4 BTC. If you did not request this, cancel here http://coinbase-secure.app",1
Re: Payroll update — please re-enter your direct deposit info at http://hr-payroll-portal.co so your salary isn't delayed.,1
"Limited time: claim your government relief payment of $1,200. Provide your details at http://relief-claim-gov.us now.",1
"Your subscription auto-renews tomorrow for $89. To cancel, log in within 2 hours http://billing-cancel-now.info or be charged.",1
We are unable to verify your information. Update your account immediately to prevent permanent suspension. http://verify-update.cc,1
"Hi team, just a reminder that our weekly standup is moving to 10am tomorrow. Let me know if that time doesn't work for you.",0
Thanks for your order! Your package is on its way and should arrive by Friday. You can track it from your account dashboard.,0
"Hi Sarah, attached is the draft of the Q3 report. Could you review the budget section and send me your comments by Thursday?",0
Your monthly statement is now available. Log in to your account anytime to view it. No action is needed.,0
"Hey, great catching up earlier. I'll send over the project timeline once I've confirmed the dates with the design team.",0
Reminder: your dentist appointment is scheduled for next Tuesday at 2pm. Reply to this email if you need to reschedule.,0
Welcome to the newsletter! Each week we'll share product tips and updates. You can unsubscribe anytime from the footer link.,0
"The pull request looks good to me. I left a couple of small comments on the tests, otherwise feel free to merge.",0
"Hi Mom, just landed safely. The flight was smooth. I'll call you this evening once I get to the hotel. Love you.",0
"Your receipt for the coffee shop is attached. Total was $6.40. Thanks for visiting, we hope to see you again soon.",0
Following up on our meeting: I've created a shared doc with the action items. Please add anything I might have missed.,0
The library book you reserved is now available for pickup. It will be held at the front desk for the next 7 days.,0
Happy birthday! Hope you have a wonderful day. Let's grab lunch sometime this week to celebrate properly.,0
Here are the slides from today's presentation. Feel free to share them with anyone who couldn't attend the session.,0
Your flight is confirmed for June 12. Check-in opens 24 hours before departure. Safe travels and see you onboard.,0
"Hi, the plumber can come by Wednesday morning between 9 and 11. Let me know if that window works for your schedule.",0
Thanks for applying. We've received your application and our team will review it. We'll reach out within two weeks.,0
Quick note: I moved the design review to Friday afternoon so everyone can join. Calendar invite updated accordingly.,0
"Your subscription renews next month. If you'd like to make any changes, you can manage your plan from account settings.",0
"Hello, just confirming we received your payment. Your invoice is now marked as paid. Thank you for your business.",0
"Hey, can you send me the notes from yesterday's class? I had to leave early for a doctor's appointment. Thanks a lot.",0
"The garden center has the plants you asked about back in stock. Stop by any day this week, we're open until 6pm.",0
Project update: we shipped the new feature to staging. QA will run through it tomorrow and we aim to release Monday.,0
Thanks for the feedback on the proposal. I'll incorporate your suggestions and circulate an updated version by end of week.,0
"Reminder that the office will be closed Monday for the public holiday. Enjoy the long weekend, everyone!",0
